"ptt","year","dep_brgr","dep_UK","dep_euna_sb","fin_sah_sb","arr_wgr_a","arr_wgr_b","dep_wgr_b","dep_wgr_a","dep_wa_a","dep_wa_b","dep_wa","fin_sah_nb","arr_UK","arr_brgr","br_hab","mig_dir","dep_brgr_TS","min_lat_stopover","any_so_s_europe_sbound","lat_last_euro_so_sbound","last_wa_fix_long","last_wa_fix_lat","last_wa_sos_long","last_wa_sos_lat","br_lat","br_long","first_fix_TS","dep_UK_TS","fin_sah_sb_TS","arr_wgr_a_TS","arr_wgr_b_TS","dep_wgr_b_TS","min_lat_stopover_id","dep_wgr_a_TS","dep_wgr_a_TS_ford1plot","dep_wa_TS","arr_UK_TS","arr_brgr_TS","last_fix_TS","region","mig_dir_3cat","outcome","last_milestone_pre_death","died_this_cycle","season_died","died_after_ms2","age_at_ring","known_age","known_age_binary","cycles_since_tagging_4s","cycles_since_tagging"
"134958",2014,168,168,201,209,262,363,380,416,NA,NA,NA,NA,NA,NA,"Upland","SE","2014-06-17 12:59:35",-2.582695,TRUE,43.98,-7.31446,9.27645,-7.30867,9.27277,50.5762847457627,-3.77723728813559,"2014-05-15 08:16:45","2014-06-18 12:59:35","2014-07-28 17:49:22","2014-09-19 08:07:42","2014-12-29 08:19:31","2015-02-14 08:46:43",755,"2015-02-21 15:25:54","2015-02-19 01:35:38","2015-04-18 07:01:15",NA,NA,"2015-04-18 07:01:15","Dartmoor","C","UB","dep_wgr_a",TRUE,"Spring",FALSE,NA,NA,NA,NA,0
"134959",2014,156,158,197,203,269,280,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SE","2014-06-05 21:38:22",0.682,TRUE,45.19,NA,NA,NA,NA,50.9150095238095,-1.67215238095238,"2014-05-27 20:07:02","2014-06-08 05:07:24","2014-07-22 17:36:40","2014-09-28 03:35:10","2014-10-07 08:32:24","2014-09-28 03:35:10",771,NA,"2014-10-16 16:15:40",NA,NA,NA,"2014-10-16 16:15:40","New Forest","SE","UC","arr_wgr_b",TRUE,"Autumn",FALSE,NA,NA,NA,NA,0
"134960",2014,186,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SW","2014-07-05 14:04:28",NA,TRUE,43.774,NA,NA,NA,NA,52.4021774193548,0.609325268817204,"2014-05-21 19:19:20","2014-07-06 14:04:28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-08-10 17:19:52","Thetford Forest","SW","UB","dep_UK",TRUE,"Autumn",TRUE,5,1,0,NA,0
"134961",2014,169,169,187,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upland","SW","2014-06-18 05:39:59",NA,TRUE,42.033,NA,NA,NA,NA,50.5851002785515,-3.7652061281337,"2014-05-15 14:18:17","2014-06-19 05:39:59","2014-07-13 15:57:29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-17 04:17:14","Dartmoor","SW","M","fin_sah_sb",TRUE,"Autumn",FALSE,NA,NA,NA,NA,0
"134963",2014,172,172,211,216,278,291,296,400,NA,NA,473,NA,479,479,"Lowland","SE","2014-06-21 17:27:18",-2.67,TRUE,44.277,-4.22862,7.5229,-4.23174,7.5229,51.064115932914,0.0647244025157233,"2014-05-30 09:51:29","2014-06-22 17:27:18","2014-08-04 16:22:23","2014-10-06 14:53:17","2014-10-18 03:08:45","2015-01-29 00:25:58",788,"2015-02-05 08:32:35","2015-02-02 17:13:34","2015-04-10 18:45:21","2015-04-24 21:09:32","2015-04-24 21:09:32","2015-06-30 16:09:22","South Downs","SE",NA,NA,FALSE,NA,FALSE,4,NA,NA,0,0
"134963",2015,167,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SE","2015-06-16 11:09:42",NA,TRUE,45.15605,NA,NA,NA,NA,51.064115932914,0.0647244025157233,"2014-05-30 09:51:29","2015-06-17 11:09:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-06-30 16:09:22","South Downs","SE","UA","dep_UK",TRUE,"Autumn",TRUE,4,NA,1,1,1
"134964",2014,190,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SW","2014-07-09 17:11:16",NA,NA,NA,NA,NA,NA,NA,52.6662482876712,1.60362157534247,"2014-05-26 06:53:45","2014-07-12 13:41:57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-12 13:41:57","Norfolk Broads","SW","M","dep_UK",TRUE,"Autumn",TRUE,5,1,0,NA,0
"146753",2015,179,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upland","SE","2015-06-28 21:40:15",NA,NA,NA,NA,NA,NA,NA,54.0772270300752,-2.59395097744361,"2015-05-22 19:48:22","2015-06-29 21:40:15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-06-29 21:40:15","Forest of Bowland","SE","M","dep_UK",TRUE,"Autumn",TRUE,4,NA,NA,0,0
"146754",2015,177,177,NA,220,254,326,367,NA,468,472,470,480,485,487,"Upland","SE","2015-06-26 14:12:21",-3.24071,TRUE,45.12845,-9.50895,14.47693,-4.268935,7.590735,54.3534367230769,-0.665758046153846,"2015-05-20 20:52:35","2015-06-27 14:12:21","2015-08-08 12:46:42","2015-09-13 04:29:15","2015-11-22 17:02:30","2015-09-15 08:33:43",810,"2016-02-25 05:46:55","2016-02-03 21:01:08","2016-04-14 10:31:29","2016-04-29 08:11:53","2016-05-01 07:00:51","2016-05-03 21:55:44","North York Moors","SE","UA","arr_brgr",TRUE,"Spring",FALSE,4,NA,NA,0,0
"146756",2015,172,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upland","SE","2015-06-21 03:36:33",NA,TRUE,44.70722,NA,NA,NA,NA,54.3274509523809,-0.617564285714286,"2015-06-01 05:10:47","2015-06-24 10:25:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-07-26 15:54:17","North York Moors","SE","M","dep_UK",TRUE,"Autumn",TRUE,4,NA,NA,0,0
"146757",2015,174,174,206,209,276,310,348,433,452,NA,455,460,479,NA,"Upland","SE","2015-06-23 10:24:59",-2.52917,TRUE,44.657755,-3.841,8.151,-2.3993,7.61722,54.3681913744076,-0.626385142180095,"2015-05-20 20:50:24","2015-06-24 10:24:59","2015-07-28 18:12:10","2015-10-04 08:42:54","2015-11-06 12:41:57","2016-02-14 05:29:05",825,"2016-03-09 06:33:21","2016-03-06 16:34:00","2016-03-30 09:03:17",NA,NA,"2016-04-20 16:27:10","North York Moors","SE","M","arr_UK",TRUE,"Spring",FALSE,4,NA,NA,0,0
"146758",2015,179,182,207,221,277,281,NA,NA,NA,NA,464,470,479,484,"Upland","SE","2015-06-28 20:58:06",-0.808725,TRUE,45.08494,-4.377,7.858,-4.30933,7.87238,54.3080718918919,-2.59429367567568,"2015-05-23 08:01:16","2015-07-02 04:36:53","2015-08-09 03:51:21","2015-10-05 17:16:59","2015-10-08 01:58:04","2015-11-09 13:48:28",837,"2016-03-01 17:57:03","2016-01-13 16:28:45","2016-03-29 09:21:06","2016-04-23 21:56:54","2016-04-28 18:20:12","2018-04-01 14:57:06","Forest of Bowland","SE",NA,NA,FALSE,NA,FALSE,4,NA,NA,0,0
"146758",2016,175,178,NA,259,325,329,384,432,491,493,491,498,507,510,"Upland","SE","2016-06-23 17:47:54",-0.777365,TRUE,44.96816,-1.61748,8.22706,-1.619,8.22192,54.3080718918919,-2.59429367567568,"2015-05-23 08:01:16","2016-06-27 05:28:17","2016-09-15 17:56:11","2016-11-21 18:20:06","2016-11-24 01:06:02","2017-02-22 05:34:24",847,"2017-03-08 09:01:29","2017-03-05 19:28:53","2017-05-04 18:36:09","2017-05-21 19:52:02","2017-05-24 04:48:23","2018-04-01 14:57:06","Forest of Bowland","SE",NA,NA,FALSE,NA,FALSE,4,NA,1,1,1
