"ptt","year","dep_brgr","dep_UK","dep_euna_sb","fin_sah_sb","arr_wgr_a","arr_wgr_b","dep_wgr_b","dep_wgr_a","dep_wa_a","dep_wa_b","dep_wa","fin_sah_nb","arr_UK","arr_brgr","br_hab","mig_dir","dep_brgr_TS","min_lat_stopover","any_so_s_europe_sbound","lat_last_euro_so_sbound","last_wa_fix_long","last_wa_fix_lat","last_wa_sos_long","last_wa_sos_lat","br_lat","br_long","first_fix_TS","dep_UK_TS","fin_sah_sb_TS","arr_wgr_a_TS","arr_wgr_b_TS","dep_wgr_b_TS","min_lat_stopover_id","dep_wgr_a_TS","dep_wgr_a_TS_ford1plot","dep_wa_TS","arr_UK_TS","arr_brgr_TS","last_fix_TS"
"115594",2015,2.41622685185185,-2.41622685185185,-4.57357638888889,-2.20916666666667,2.35539351851852,-7.03611111111111,65.5090740740741,-4.69643518518519,2.33394675925926,-2.33394675925926,2,-6.88461805555556,2.57366898148148,-2.57366898148148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115594",2016,4.54918981481481,-4.54918981481481,-4.63835648148148,-2.23934027777778,2.26456018518519,-4.62849537037037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115595",2012,2.25767361111111,-2.25767361111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115596",2012,2.35046296296296,-2.3747337962963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115597",2012,1.11229166666667,-2.65725694444444,-2.55292824074074,-2.52221064814815,2.60142361111111,-2.6044212962963,2.44074074074074,-4.9209837962963,4.95113425925926,-4.95113425925926,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115598",2012,2.43697916666667,-2.25399305555556,-4.953125,-1.98523148148148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115599",2013,4.62305555555556,-4.62305555555556,-9.52991898148148,-2.66074074074074,2.37136574074074,-14.0270023148148,80.5843518518518,-80.5843518518518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115600",2012,2.39671296296296,-2.29981481481481,-2.17862268518519,-2.38796296296296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115602",2012,2.81054398148148,-2.81054398148148,-5.00157407407407,-2.39321759259259,2.55027777777778,-2.55027777777778,2.44767361111111,-7.54795138888889,12.5688194444444,-12.5688194444444,2,-2.46556712962963,2.2952662037037,-2.5525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115602",2013,2.7496875,-2.7496875,-2.54847222222222,-2.63303240740741,2.60731481481481,-2.3494212962963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121791",2013,2.31353009259259,-2.31353009259259,-2.40005787037037,-2.05297453703704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121792",2014,2.25060185185185,-2.46304398148148,-2.32425925925926,-2.5594212962963,2.35488425925926,-2.04113425925926,2.49576388888889,-2.49994212962963,2.54554398148148,NA,2.55278935185185,-2.20581018518519,4.92958333333333,-2.44628472222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121792",2015,2.32150462962963,-2.52363425925926,-2.33538194444444,-2.39958333333333,2.49436342592593,-2.49436342592593,2.22755787037037,-2.38471064814815,4.98211805555556,NA,4.98211805555556,-2.49395833333333,2.43680555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
